Edicion,S_1,O_88,O_89,O_12,O_13,O_22,O_67,O_68,O_8,O_19_1,O_19_2,O_19_3,O_19_4,O_19_5,O_19_6,O_19_7,O_19_8,O_19_9,O_20_1,O_20_2,O_20_3,O_20_4,O_20_5,O_20_6,O_20_7,O_20_8,O_72_1,O_72_2,O_72_3,O_72_4,O_72_5,O_72_6,O_72_7,O_72_8,O_72_9,O_24,O_48,O_52,O_54,O_58,O_59,O_90,O_28_1,O_28_2,O_28_3,O_28_4,O_28_5,O_28_6,O_28_7,O_28_8,O_37_1,O_37_2,O_37_3,O_37_4,O_37_5,O_38_1,O_38_2,O_38_3,O_38_4,O_38_5,O_38_6,O_38_7,O_38_8,O_38_9,O_66_1,O_66_2,O_66_3,O_66_4,O_66_5,O_66_6,O_66_7,O_81_1,O_81_2,O_81_3,O_81_4,O_81_5,O_81_6,O_81_7,O_82_1,O_82_2,O_82_3,O_82_4,O_82_5,O_82_6,O_82_7,O_40,O_41,O_45,O_49,O_55,O_61_1,O_61_2,O_61_3,O_61_4,O_61_5,O_62_1,O_62_2,O_62_3,O_62_4,O_62_5,O_62_6,O_70,O_71,Condiciones Territoriales,Prácticas,Efectos,IPCM
2019,1,Hombre,Si,Si,No,300,No consulta,No consulta,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,1,No,1,No,Nunca,Nunca,3,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,Democráctico,Condescendiente,Inclusivo,Consultivo,Proactivo,Cooperativo,Delegativo,Democráctico,Condescendiente,Muy inclusivo,Consultivo,Proactivo,Cooperativo,Autosuficiente,"Si, bajo",Positiva,Mejorado,0,0,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,De fácil acceso,0.82450031473885,0.772058857086849,0.776280663490202,0.79
2019,1,Mujer,No,Si,Si,50,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,No,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, medio",Positiva,Permanecen igual,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.734871050717431,0.80354026372876,0.720852128598259,0.75
2019,1,Hombre,No,Si,Si,3000,Algunas veces,Casi siempre,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,32,Si,43,Si,Siempre,Siempre,1,No,No,No,No,No,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Muy autoritario,Muy manipulador,Muy excluyente,Muy dictatorial,Muy pasivo,Muy apático,Muy autosuficiente,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy delegativo,"Si, alto",Positiva,Empeorado,70,100,Totalmente inequitativo,Totalmente inequitativo,Totalmente inequitativo,Totalmente inequitativo,Totalmente inequitativo,Totalmente equitativo,Totalmente equitativo,Totalmente equitativo,Totalmente equitativo,Totalmente equitativo,Totalmente equitativo,No se publica información,Amplia y suficiente,0.547073739855052,0.374272301990556,0.230637284918409,0.36
2019,1,Mujer,No,Si,Si,30,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,Si,12,Si,Casi siempre,Nunca,1,No,No,No,No,No,No,No,Si,Si,Si,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, alto",Positiva,Permanecen igual,30,150,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.763295432322538,0.638823793779116,0.560333871978216,0.65
2019,1,Mujer,Si,Si,Si,12,Algunas veces,Algunas veces,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,0,Si,2,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Democráctico,Condescendiente,Inclusivo,Consultivo,Proactivo,Cooperativo,Autosuficiente,"Si, medio",Positiva,Permanecen igual,40,0,Neutral,Neutral,Inequitativo,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clara y comprensible,Clara y comprensible,0.629710009630137,0.772366831559398,0.639017842331856,0.68
2019,1,Hombre,No,Si,Si,160,No consulta,No consulta,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,No,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, medio",Positiva,Mejorado,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.761942812323362,0.798659508892121,0.760979017441399,0.77
2019,1,Mujer,Si,Si,Si,30,Casi siempre,Casi siempre,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,10,Si,5,Si,Casi siempre,Casi siempre,21,No,No,No,No,Si,No,No,Si,Si,Si,Si,No,Si,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Democráctico,Condescendiente,Muy inclusivo,Consultivo,Proactivo,Muy cooperativo,Muy autosuficiente,Democráctico,Condescendiente,Muy inclusivo,Consultivo,Proactivo,Cooperativo,Autosuficiente,"Si, alto",Positiva,Mejorado,30,50,Equitativo,Neutral,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,De utilidad para el trabajo en la comuna,Amplia y suficiente,0.533765362605586,0.396922827548285,0.631289885450778,0.51
2019,1,Mujer,Si,Si,Si,500,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,12,Si,30,Si,Casi siempre,Casi siempre,3,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Inclusivo,Dictatorial,Pasivo,Apático,Delegativo,Autoritario,Manipulador,Inclusivo,Dictatorial,Proactivo,Apático,Delegativo,"Si, alto",Positiva,Mejorado,100,20,Inequitativo,Totalmente inequitativo,Inequitativo,Inequitativo,Inequitativo,Neutral,Neutral,Inequitativo,Inequitativo,Inequitativo,Inequitativo,No consulta,Clara y comprensible,0.724489757753699,0.53220766520378,0.58522626638049,0.61
2019,1,Mujer,No,Si,Si,422,No consulta,No consulta,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,Si,1,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Muy autoritario,Muy manipulador,Muy excluyente,Muy dictatorial,Muy pasivo,Muy apático,Muy autosuficiente,Muy autoritario,Muy manipulador,Muy excluyente,Muy dictatorial,Muy pasivo,Muy apático,Muy autosuficiente,"Si, medio",Positiva,Permanecen igual,25,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.7334839682762,0.774773040920406,0.639879370485806,0.71
2019,1,Hombre,Si,Si,Si,35,Siempre,Algunas veces,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0,Si,1,Si,Algunas veces,Nunca,2,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,Si,Si,No,No,No,No,No,Autoritario,Condescendiente,Excluyente,Dictatorial,Proactivo,Apático,Delegativo,Democráctico,Condescendiente,Inclusivo,Consultivo,Proactivo,Cooperativo,Delegativo,"Si, alto",Positiva,Mejorado,40,35,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,De utilidad para el trabajo en la comuna,De fácil acceso,0.622266879062392,0.663735732291079,0.572264085258397,0.62
2019,1,Mujer,No,Si,Si,80,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,No,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, medio",Positiva,Permanecen igual,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,No consulta,No consulta,0.723895878348795,0.80354026372876,0.725396649874249,0.75
2019,1,Mujer,Si,Si,Si,50,Siempre,Siempre,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,5,Si,5,Si,Siempre,Siempre,2,No,No,No,No,No,No,Si,Si,No,Si,No,No,Si,No,Si,Si,No,Si,No,Si,Si,No,No,No,Si,Si,No,Si,Si,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy delegativo,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Cooperativo,Delegativo,"Si, bajo",Positiva,Mejorado,150,50,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,De utilidad para el trabajo en la comuna,De utilidad para el trabajo en la comuna,0.562442971737225,0.410185463500567,0.561744897893435,0.51
