form,S_00,S_1,S_2,O_1,O_2,O_2_1,O_3,O_4,O_5,O_6,O_7_1,O_7_2,O_7_3,O_7_4,O_8,O_9,O_10,O_10_1,O_10_2,O_10_3,O_10_4,O_10_5,O_10_6,O_11,O_11_1,O_11_2,O_11_3,O_11_4,O_11_5,O_11_6,O_11_7,O_11_8,O_12,O_12c,O_13,O_13c,O_14,O_15,O_16_1,O_16_2,O_16_3,O_16_4,O_16_5,O_16_6,O_16_7,O_16_8,O_16_9,O_17,O_17_1,O_17_2,O_17_3,O_17_4,O_17_5,O_18,O_19,O_19_1,O_19_2,O_19_3,O_19_4,O_19_5,O_19_6,O_19_7,O_19_8,O_19_9,O_19_10,O_19_11,O_20,O_20_1,O_20_2,O_20_3,O_20_4,O_20_5,O_20_6,O_20_7,O_20_8,O_21,O_22,O_23,O_24,O_25_1,O_25_2,O_25_3,O_25_4,O_26_1,O_26_2,O_27,O_28,O_28_1,O_28_2,O_28_3,O_28_4,O_28_5,O_28_6,O_28_7,O_28_8,O_29,O_30,O_31,O_32,O_33_1,O_33_2,O_34_1,O_34_2,O_35,O_36_1,O_36_2,O_36_3,O_37_1,O_37_2,O_37_3,O_37_4,O_37_5,O_37_6,O_38_1,O_38_2,O_38_3,O_38_4,O_38_5,O_38_6,O_38_7,O_38_8,O_38_9,O_39,O_40,O_41,O_42,O_42_1,O_42_2,O_42_3,O_42_4,O_43_1,O_43_2,O_43_3,O_43_4,O_43_5,O_43_6,O_43_7,O_43_8,O_43_9,O_44_1,O_44_2,O_44_3,O_44_4,O_44_5,O_44_6,O_44_7,O_45,O_46,O_47,O_48,O_49,O_50,O_51,O_52,O_53,O_54,O_55,O_56,O_57,O_57c,O_58,O_59,O_60_1,O_60_2,O_60_3,O_60_4,O_60_5,O_60_6,O_60_7,O_60_8,O_60_9,O_60_10,O_61_1,O_61_2,O_61_3,O_61_4,O_61_5,O_62_2,O_62_1,O_62_3,O_62_4,O_62_5,O_62_6,O_63,O_64,O_65,O_66_0,O_66_1,O_66_2,O_66_3,O_66_4,O_66_5,O_66_6,O_66_7,O_66_7c,O_67,O_68,O_69,O_70_1,O_70_2,O_70_3,O_70_4,O_71_1,O_71_2,O_71_3,O_71_4,O_72_1,O_72_2,O_72_3,O_72_4,O_72_5,O_72_6,O_72_7,O_72_7c,O_73,O_74,O_75,O_76,O_77,O_78,O_79,O_80,O_81_1,O_81_2,O_81_3,O_81_4,O_81_5,O_81_6,O_81_7,O_82_1,O_82_2,O_82_3,O_82_4,O_82_5,O_82_6,O_82_7,O_83_1,O_83_2,O_84,O_85,O_86,O_87,O_88,O_88c,O_89,O_90
1,2,12,1012007, CR 90 45 74 301,4946688,3506280720,CUERPO VOLUTARIO BELLO,LEALTAD,125,35,30,40,20,0,1,BOMBEROS MEDELLIN SISTEMAS DE EMERGRNCIAS,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,1,ESCUELAS CARROS PARATRANSPORTANOS,1,ACCIONES COMUNALES,SEDES COMUNALES ESCUELAS Y LA PLNTA,ESTACION BELLO,5,5,4,4,4,4,5,4,5,1,1,1,2,2,2,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,30,70,ACTUALIZACION DE APRENDIZAJE Y PRACTICAS,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,NO HAY OTRAS CAUSAS DE CONFLICTO,"EMERGENCIAS,EVENTOS SOCIALES",ELAPAR MUNICIPIO DEBELLO BOMBEROS MEDELLINCONCE,"CONCESOS LOCALES,CONCEJOS CIUDADANOS Y CABILDO POPULAR","BOMBEROS MEDELLIN , CRUZ ROJA ,MUNICIPIO DE BELLO",1,2,4,1,2,7,6,7,1,1,2,1,2,NINGUN OTRO,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,3,3,2,2,3,2,3,3,4,4,4,4,4,3,3,2,1,7,1,30,4,PROMOVER LA CIUDADANIA,4,SEGURIDAD Y EMERGENCIAS,1,15,QUE TODO SE HA HECHO BIEN,1,INTERN,1,1,3,3,2,3,5,5,5,3,5,4,3,4,5,4,4,4,4,4,5,3,4,2,1,1,2,1,1,1,1,1,1,2,-88,4,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,NINGUN OTRO,2,3,1,1,2,2,2,1,3,3,3,3,3,2,3,4,3,3,3,3,3,3,6,8,12,8,4,50,1,-88,5,5
2,2,3,1003008, CL 81 31 76,9999999,3116278418,COORPORACION UNIDA DE COLOMBIA,NO TENGO UNA FRASE QUE LA DESCRIBA,5,5,0,0,4,1,2,-88,2,-88,-88,-88,-88,-88,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,2,-88,2,-88,"OFINA,CASAS,ESPACIO PUBLICO.",ESPACIO PUBLICO,3,3,3,3,3,3,3,3,3,1,1,2,2,2,1,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,5,5,CAPACITAR Y BIENESTAR,0,1,3,3,3,1,6,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,TRABAJO SOCIAL Y CAPACITACION,NINGUNO,NINGUNO,COOPERATIVA COMPARTA,6,5,1,2,1,3,5,3,2,1,2,2,2,NINGUN OTRO,1,1,1,2,2,2,2,2,2,2,3,2,2,-88,-88,-88,-88,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,0,1,2,-88,2,TRABAJO CON LA COMUNIDAD,0,TRABAJO SOCIAL,2,-88,-88,-88,NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,1,2,2,2,2,2,2,2,-88,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NINGUN OTRO,4,4,5,3,3,5,2,3,3,4,2,2,4,2,4,4,4,4,4,4,4,4,8,-88,0,0,0,38,2,-88,4,1
3,2,2,1002005, CR 48 A 108 117,2583205,3125203870,COMITE COMUNITARIA DE GESTIÓN DE RIESGOS DE DESASTRES DEL BARRIO LA FRANCIA,VOLUNTARIADO,7,5,1,0,6,0,2,-88,2,-88,-88,-88,-88,-88,-88,1,1,1,2,1,2,2,1,2,2,-88,1,ACCION COMUNAL SEDE CLUD DE VIDA ,SEDE JAC SEDE ADULTO MAYOR ,CR 48 A CL 108 107,5,5,5,5,5,5,5,5,5,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,NINGUNO,2,-88,-88,-88,-88,-88,-88,-88,-88,5,5,CAPACITACIÓN EN PREVENCIÓN DEL DESASTRES,25,3,1,2,2,1,6,1,1,2,2,2,1,2,1,2,NO HAY OTRAS CAUSAS DE CONFLICTO,EL CONVITE CUBRIR LAS NECESIDADES EN CONJUNTOS ,ALCALDÍA PERSONERIA ,CONSEJOS LOCALES DE PLANTACIÓN,RED DE MESAS AMBIEMTALES ,4,3,1,2,2,12,6,7,2,1,2,2,2,NINGUN OTRO,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,18,2,-88,7,DESARROLLO DE ACTIVIDADES AMBIENTALES Y DE PREVENCIÓN,5,DESARROLLO DE ACTIVIDADES AMBIENTALES Y DE PREVENCIÓN SALUD ,2,-88,-88,-88,NO,2,2,4,4,3,3,3,2,2,2,1,1,2,2,1,2,3,4,3,2,2,2,3,3,2,2,2,2,1,1,1,2,2,2,-88,4,4,3,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,NINGUN OTRO,3,3,4,1,1,4,2,3,2,2,4,2,2,2,3,2,2,2,2,2,2,3,8,-88,0,3,0,49,1,-88,0,1
4,2,11,1011010, CR 82 A 33 09 201,4135711,3113310434,ACCION COMUNAL LA CASTELLANA,PARTICIPACION,177,150,0,30,100,47,1,PRESIDENTE,2,-88,-88,-88,-88,-88,-88,1,1,1,2,1,1,1,2,2,2,-88,2,-88,LA IGLESIA Y LA CASA DE PRESIDENTE Y COMISION DE SALUD,PARQUE TRIANGULO NUMERO UNO DE LA CASTELLANA,5,4,4,1,4,4,5,5,5,2,-88,-88,-88,-88,-88,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,25,70,SEGURIDAD Y MOVILIDAD,6,3,5,3,4,1,6,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,SEGURIDAD Y MOVILIDAD,"SECRETARIA MEDIO AMBUENTE, PARTICIPACION CIUDADANA .",NINGUNA,NINGUNA,6,3,1,2,1,3,9,13,1,1,2,2,2,NINGUN OTRO,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,0,0,1,15,3,SEGURIDAD Y MOVILIZACIÓN,11,"MEDIO AMVIENTE, SEGURIDAD, SALUD Y VEDURIAS",1,68,INFORMAXION POR LO REALIZADO POR LA JUNTA,1,RED SOCIAL,1,2,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,2,2,1,2,1,1,1,2,1,PQRS,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,NINGUN OTRO,2,2,1,5,3,1,5,1,4,1,1,1,4,3,4,1,1,1,1,3,3,4,8,-88,0,0,0,66,1,-88,3,6
5,2,13,1013011, CR 105 B 34 B 24 IN 301,4924248,3113867633,CORPORACIÓN CARAPAS,FORTALECIMIENTO ORGANIZACIONAL ,40,25,4,5,15,11,1,OPERADORES DE PROYECTOS DE PP,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,COLEGIOS ,1,SEDE SOCIAL ,ASOCOMUNAL LA 13 CORPORACIÓN SOL Y LUZ SEDE CDS,CR 105 B CL 34 BB 94,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,40,40,ACTIVIDAD CULTURAL ENCUENTRO DE DERECHOS HUMANOS,20,5,5,5,5,1,5,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,RED DE ORGANIZACIONES PROGRAMAS DE PLPPP,SECRETARÍA DE PERTICIPACION CUIDADANA CONCEJO DE MEDELLÍN,AUDIENCIAS PUBLICAS CONSEJO LOCAL ,RED DE ORGANIZACIONES ,6,4,1,2,2,2,3,7,1,1,2,2,1,NINGUN OTRO,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,2,2,1,3,3,4,3,4,4,2,2,3,1,10,2,1,30,10,CONTRATACIÓN DDHH EVENTOS CULTURALES,70,PPLP ,1,80,TRANSPARENCIA CONFIANZA ,1,SEDES SOCIALES ,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,1,1,1,1,1,1,2,-88,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NINGUN OTRO,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,30,15,15,55,1,-88,6,2
6,2,60,1060001, CL 59 134 102 IN 174 palma baja,4275712,3105067940,JAC PALMA BAJA ,NO TENGO UNA FRASE QUE LA DESCRIBA,71,45,0,8,35,28,1,ALCALDIA ,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,-88,2,-88,NINGUNO,NO SABE / NO RESPONDE,5,5,5,1,1,5,5,5,5,1,2,2,2,1,1,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,40,0,NO,3,5,5,5,5,1,6,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,CARTAS,SECRETARIA PARTICIPACIÓN CIUDADANA  CORANTIOQUIA,CABILDO POPULAR,JAC ,6,4,1,2,1,14,-88,-88,2,1,2,2,1,VOZ A VOZ ,2,2,2,1,1,2,1,1,2,1,2,1,2,-88,-88,-88,-88,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,5,100,1,3,0,NO SABE EL OBJETIVO,0,NINGUNO,1,35,EXIGENCIA,2,-88,2,2,3,3,3,1,1,1,3,3,2,2,5,1,1,1,1,1,4,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,-88,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NINGUN OTRO,2,3,2,3,3,2,3,2,3,4,3,4,1,4,4,4,4,4,2,4,4,4,8,-88,0,5,5,65,1,-88,0,8
7,2,80,1080000, CL 48 Sur 69 22,2869500,3008121642,VERGEL CENTRO,COMUNIDAD,18,11,0,1,17,0,1,ALCALDIA,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,PARQUE BIBLIOTECA,1,CASAS,CASAS PARQUE  BIBLIOTECA Y ESPACIOS PUBLICOS,PARQUE BIBLIOTECA JOSE HORACIO,5,5,5,5,5,5,5,5,5,2,-88,-88,-88,-88,-88,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,25,200,TRANSFORMACION SOCIAL IGUALDA DE OPORTUNIDADES,15,4,2,5,5,1,5,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,PERMITER QUE JIVENES PARTICIPEN CON SUS PROYECTOS,CORPORACION EXPERIENCIARTE PARQUE BIBLIOTECA JODE HORACIO BeTANCUR SECRETARIA DE LAS MUJERES SECRETARIA DE JUVENTUD,"AUDICIAS PUBLICAS, CONSEJOS LOCALES","MESA DE ARTICULACION JUVENIL, COLECTIVO DE MUJERE",3,5,5,1,2,3,4,9,1,1,1,2,1,MURAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,3,3,2,3,1,4,4,4,3,4,3,2,1,2,2,1,200,15,PROYECTOS DE INCIDENCIA SOCIAL CULTURAL Y AMBIEBTAL  EN EL TERRITORIO ,10,GESTION PUBLICA,1,50,TRANSPARENCIA,1,FACEBOOK,1,1,5,3,5,5,5,5,1,4,3,5,4,5,5,5,5,4,4,3,5,5,5,1,1,2,2,1,1,1,1,1,1,1,INFORMES BALACES,1,1,3,2,1,2,1,1,1,1,1,1,2,1,2,2,1,1,NINGUN OTRO,3,3,1,5,1,5,3,1,3,3,3,2,4,4,3,4,4,4,4,4,4,4,3,8,1,11,7,24,2,-88,0,0
8,2,60,1060000, VEREDA,4387427,3225139257,OTRO CUENTO,NO TENGO UNA FRASE QUE LA DESCRIBA,5,2,0,1,4,0,1,BIBLIOTECA PUBLICA FERNANDO BOTERO,2,-88,-88,-88,-88,-88,-88,1,1,1,1,1,2,2,2,2,1,BIBLIOTECAS,2,-88,"BIBLIOTECA,CASA,",VEREDA EL PATIO,5,5,5,1,1,5,5,5,5,2,-88,-88,-88,-88,-88,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,3,8,OBRAS ARTISTICAS Y CULTURALES ,15,4,3,4,4,1,2,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,NO TIENE CONOCIMIENTO,"UVA MIRADOR DE DAN CRISTOBAL, BIBLIOTECA SAN CRISTÓBAL Y BANCO DE LA REPÚBLICA",NINGUNO,"GRUPO HERMANOS VID,PALMA ACTIVA,SOMOS MAS SOCIAL",5,6,1,2,1,12,3,13,2,1,2,2,1,NINGUN OTRO,1,1,1,1,1,2,2,2,2,1,2,1,2,-88,-88,-88,-88,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,-88,100,ARTÍSTICOS Y CULTURALES,2,ARTÍSTICOS Y CULTURALES,1,0,LEGALIDAD,2,-88,2,2,3,6,2,6,4,1,1,4,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,CONVOCATORIAS,-98,-98,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NINGUN OTRO,3,4,3,3,3,5,3,5,1,1,3,2,4,4,3,1,3,3,2,4,4,3,8,-88,2,1,1,36,1,-88,3,2
9,2,7,1007017, CR 97 AB 64 AC 62 casa,9999999,3012239049,CORPORACIÓN MONTAÑAS,NO TENGO UNA FRASE QUE LA DESCRIBA,15,6,0,1,8,0,2,-88,2,-88,-88,-88,-88,-88,-88,1,2,2,2,1,2,2,2,1,1,UVAS,1,JAC,"UVAS, SEDES COMUNALES, UNIVERSIDADES",UVA ROBLEDO,5,5,5,1,1,5,5,5,5,1,2,2,1,2,1,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,10,13,BÚSQUEDA DE OPORTUNIDADES DE ESTUDIO FINANCIAMIENTO,0,4,4,4,3,1,6,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,NO,ALCALDÍA Y EPM,NADA,NO,5,6,2,1,2,7,13,7,2,2,2,2,2,NINGUN OTRO,2,2,2,2,2,2,2,2,2,2,2,1,2,-88,-88,-88,-88,2,2,3,2,2,2,2,2,2,1,1,3,1,1,3,1,2,0,0,2,-88,0,NO SABE EL OBJETIVO,0, MUCHOS,2,-88,-88,-88,NO,2,2,4,6,6,6,6,6,6,6,6,6,5,5,4,3,4,3,4,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,-88,-98,5,3,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,NINGUN OTRO,3,2,3,2,4,4,4,2,2,3,2,3,1,3,3,2,3,3,2,3,2,2,5,3,0,0,0,0,2,-88,0,0
10,2,16,1016019, CR 77 31 75 IN 301,3475927,3128513187,JAC DE BELEN PARQUE ,TRABAJÓ COMUNITARIO,10,6,0,0,4,2,1,PRESIDENTE DE LA JAC ,2,-88,-88,-88,-88,-88,-88,1,2,2,2,2,2,2,2,1,1,COLEGIOS Y CDS CANCHAS ,1,SEDE PROPIA,LA SEDE BIBLIOTECA CDS,CR 77 CL 31 75,5,5,5,5,5,5,5,5,5,2,-88,-88,-88,-88,-88,1,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,1,-88,2,-88,-88,-88,-88,-88,-88,-88,-88,70,150,GRUPOS CULTURALES Y DEPORTIVOS,6,3,4,2,4,1,6,2,-88,-88,-88,-88,-88,-88,-88,-88,-88,MANEJOS DEL ADULTO MAYOR Y DEPPRTES DERECHOS HUMANOS ,SECRETARÍA DE INCLUSIÓN SOCIAL SECRETARIA DE PARTICIPACIÓN CIUDADANA,CONCEJOS POPULARES ,INDER  ASOCOMUNAL ,1,3,1,2,2,3,9,12,2,1,2,2,1,NINGUN OTRO,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,2,12,3,2,-88,4,PROBLEMAS DE SEGURIDAD ,4,CULTURALES Y DEPORTIVOS ENTRE BARRIOS,1,60,PARA INFORMACION Y CONTROL DE COMO VA LA COMUNA,1,REDES SOCIALES ,1,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,2,-88,3,3,3,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,NINGUN OTRO,2,4,2,3,3,5,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,8,-88,2,2,4,58,1,-88,4,1
