orgMiembros;orgFreq;orgProcesos;filtro;anuncio;S_1;O_4;O_91;O_91_other;O_5;O_46;O_47;O_7_1;O_7_2;O_7_3;O_7_4;O_7_5;O_88;O_88_other;O_87;O_89;O_90;O_8;O_9_1;O_9_2;O_9_3;O_9_4;O_9_5;O_9_6;O_9_7;O_9_other;O_11_1;O_11_2;O_11_3;O_11_4;O_11_5;O_11_6;O_11_7;O_11_8;O_11_9;O_12;O_13;O_17_1;O_17_2;O_17_3;O_17_4;O_17_5;O_17_8;O_17_7;O_18;O_19_1;O_19_2;O_19_3;O_19_4;O_19_5;O_19_6;O_19_7;O_19_8;O_19_9;O_20_1;O_20_2;O_20_3;O_20_4;O_20_5;O_20_6;O_20_7;O_20_other;O_25_1;O_25_2;O_25_3;O_25_4;O_25_5;O_22;O_23;O_23_other;O_34_1;O_34_2;O_34_3;O_34_4;O_34_5;O_60_6;O_60_7;O_60_10;O_66_1;O_66_2;O_66_3;O_66_4;O_66_5;O_66_6;O_66_7;O_66_other;O_67;O_68;O_69;O_70;O_71;O_72_1;O_72_2;O_72_3;O_72_4;O_72_5;O_72_6;O_72_7;O_72_8;O_72_other;O_10_1;O_10_2;O_10_3;O_10_4;O_10_5;O_10_6;O_16_1;O_16_2;O_16_3;O_16_4;O_16_5;O_16_6;O_16_7;O_16_8;O_16_9;O_26_1;O_26_2;O_26_4;O_26_5;O_26_6;O_26_7;O_26_3;O_26_9;O_92_1;O_92_2;O_92_4;O_92_5;O_92_6;O_92_7;O_92_3;O_92_9;O_28_1;O_28_2;O_28_3;O_28_4;O_28_5;O_28_6;O_28_7;O_28_other;O_36;O_36_other;O_37_1;O_37_2;O_37_3;O_37_4;O_37_5;O_38_1;O_38_2;O_38_3;O_38_4;O_38_5;O_38_6;O_38_7;O_38_8;O_38_9;O_44_1;O_44_2;O_44_3;O_44_4;O_44_5;O_44_6;O_44_7;O_44_8;O_44_9;O_44_10;O_48;O_49;O_24;O_50;O_52;O_54;O_55;O_58;O_59;O_64;O_65;O_75;O_76;O_77;O_78;O_79;O_80;O_81_1;O_81_2;O_81_3;O_81_4;O_81_5;O_81_6;O_81_7;O_82_1;O_82_2;O_82_3;O_82_4;O_82_5;O_82_6;O_82_7;O_41;O_45;O_40;O_61_1;O_61_2;O_61_3;O_61_4;O_61_5;O_62_1;O_62_2;O_62_3;O_62_4;O_62_5;O_62_6;O_74;O_93_1;O_93_2;O_93_3;O_93_4;O_93_5;O_93_6;comuna;zona;group_age;IPCM
Sí;Sí;Sí;3;N/A;11-LAURELES ESTADIO;Es una organización sin ánimo de lucro únicamente trabajnado por el bien de la persona humana;Adulto mayor;N/A;37;3;2;0;0;0;0;37;Mujer;N/A;86;Sí;6;Sí;Sí;Sí;No;Sí;No;No;Sí;N/A;No;Sí;No;No;No;No;No;Sí;No;Sí;Sí;No;No;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Totalmente de acuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;37;Promoción o defensa derechos de salud;N/A;No;No;No;No;No;Confía;Neutral;Confía totalmente;Sí;Sí;Sí;Sí;Sí;Sí;Sí;N/A;Algunas veces;Algunas veces;Mas o menos;Clara y comprensible;De utilidad para el trabajo en la comuna;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Algo dispuesto;Es indiferente;Totalmente dispuesto;Algo dispuesto;Algo dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Ninguno;N/A;No;Sí;No;No;Sí;No;Sí;Sí;Sí;Sí;No;Sí;Sí;Sí;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No;N/A;0;0;24;No;240;Algunas veces;Nunca;No;No;Nunca;Algunas veces;Algunas veces;Muy pocas veces;Muy pocas veces;Siempre;Democrático;Condescendiente;Inclusivo;Consultivo;Pasivo;Cooperativo;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Mejorado;No;Totalmente equitativo;Equitativo;Equitativo;Neutral;Totalmente equitativo;Totalmente equitativo;Neutral;Neutral;Neutral;Neutral;Totalmente equitativo;No ha realizado derechos de petición;Sí;Sí;Sí;Sí;Sí;Sí;laureles;Centro occidental;55 +;0.467596486104636
Sí;Sí;Sí;3;N/A;6-DOCE DE OCTUBRE;Vivir bien;Otro;Todas las anteriores;14;10;30;0;30;50;80;15;Mujer;N/A;45;Sí;3;Sí;Sí;Sí;Sí;No;No;No;No;N/A;No;No;Sí;Sí;Sí;Sí;No;No;No;Sí;Sí;No;No;No;No;No;No;N/A;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Ni de acuerdo, ni en desacuerdo;Totalmente de acuerdo;62;Otro;Todas las anteriores;Sí;Sí;No;No;No;Neutral;Neutral;Neutral;Sí;No;No;Sí;No;No;Sí;N/A;Casi siempre;Casi siempre;Mas o menos;De utilidad para el trabajo en la comuna;De fácil acceso;No;No;No;No;No;No;No;Sí;N/A;No;No;No;No;No;No;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;No;No;No;No;No;Sí;No;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;Toda la Comunidad;No;Sí;No;No;No;No;No;No;Sí;No;No;Sí;No;No;Bastante incidencia o efectividad;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Sí;25;30;8;8;Sí;85;Algunas veces;Algunas veces;No;No;Siempre;Nunca;Nunca;Nunca;Nunca;Casi siempre;Muy democrático;Muy condescendiente;Inclusivo;Consultivo;Muy proactivo;Cooperativo;Delegativo;Muy democrático;Condescendiente;Muy inclusivo;Consultivo;Muy proactivo;Muy cooperativo;Delegativo;Positiva;Mejorado;Sí, alto;Neutral;Neutral;Neutral;Neutral;Neutral;;;;;;;Satisfecho (sensación percibida coincide con las expectativas);Sí;Sí;Sí;No;No;No;doce de octubre;Noroccidental;29 - 54;0.492393655707639
Sí;Sí;Sí;3;N/A;1-POPULAR;Por los derechos del adulto mayor;Adulto mayor;N/A;100;30;4;0;0;0;20;80;Mujer;N/A;61;Sí;7;Sí;Sí;Sí;Sí;Sí;No;No;No;N/A;Sí;Sí;Sí;No;Sí;No;Sí;Sí;No;No;Sí;Sí;No;No;No;Sí;Sí;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;0;Otro;0;No;No;No;No;No;Confía totalmente;Confía totalmente;Confía totalmente;Sí;Sí;Sí;Sí;Sí;Sí;Sí;N/A;Algunas veces;Siempre;Si;No consulta;No se publica información;No;No;No;No;No;No;Sí;No;N/A;No;Sí;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Poco dispuesto;Poco dispuesto;Poco dispuesto;Es indiferente;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Grupos etarios;N/A;Sí;Sí;Sí;No;Sí;Sí;No;No;No;No;No;Sí;Sí;No;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Sí;50;6;0;6;No;0;Nunca;Nunca;No;No;Siempre;Nunca;Nunca;Casi siempre;Nunca;Siempre;Muy autoritario;Muy manipulador;Muy excluyente;Muy dictatorial;Muy pasivo;Muy apático;Muy autosuficiente;Muy autoritario;Muy manipulador;Muy excluyente;Muy dictatorial;Muy pasivo;Muy apático;Muy autosuficiente;Positiva;No sabe, no responde;No;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;No ha realizado derechos de petición;Sí;Sí;Sí;Sí;Sí;Sí;popular;Nororiental;55 +;0.396666539425988
Sí;Sí;Sí;3;N/A;16-BELÉN;Defensa a los derechos de la salud en tiempos de pandemia.;Salud;N/A;40;40;0;0;0;2;20;10;Hombre;N/A;24;Sí;2;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sí;Sí;Sí;No;Sí;Sí;Sí;Sí;Sí;No;Sí;No;No;No;No;No;No;N/A;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Ni de acuerdo, ni en desacuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;10;Promoción o defensa derechos de salud;N/A;No;Sí;No;No;No;Confía;Desconfía;Confía;No;No;No;No;Sí;No;Sí;N/A;Algunas veces;Algunas veces;No;De fácil acceso;Clara y comprensible;No;No;No;No;Sí;No;No;No;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sí;No;No;No;N/A;Grupos de derechos humanos;N/A;No;Sí;No;No;No;No;Sí;No;No;No;No;No;Sí;No;Poca incidencia o efectividad;Bastante incidencia o efectividad;Bastante incidencia o efectividad;No los hemos usado;Bastante incidencia o efectividad;Bastante incidencia o efectividad;No los hemos usado;Bastante incidencia o efectividad;Bastante incidencia o efectividad;No los hemos usado;No;N/A;5;20;1;No;0;Casi siempre;Casi siempre;No;No;Nunca;Nunca;Nunca;Casi siempre;Casi siempre;Siempre;Muy autoritario;Muy manipulador;Muy excluyente;Muy dictatorial;Muy pasivo;Muy apático;Delegativo;Muy autoritario;Muy manipulador;Muy excluyente;Muy dictatorial;Muy pasivo;Muy apático;Autosuficiente;Positiva;Mejorado;Sí, alto;Neutral;Neutral;Equitativo;Neutral;Neutral;Neutral;Neutral;Neutral;Equitativo;Neutral;Neutral;Insatisfecho (sensación percibida no alcanza las expectativas);No;No;No;No;No;No;belen;Suroccidental;14 - 28;0.614934579721229
Sí;Sí;Sí;3;N/A;6-DOCE DE OCTUBRE;El servicio;Derechos humanos, convivencia y ciudadanía;N/A;30;0;10;0;2;5;20;10;Hombre;N/A;64;Sí;3;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;No;No;No;No;No;No;No;No;Sí;Sí;No;No;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Ni de acuerdo, ni en desacuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;10;Promover participación;N/A;No;No;No;No;No;Neutral;Neutral;Neutral;No;No;No;No;No;No;No;N/A;No consulta;No consulta;Mas o menos;No se publica información;No se publica información;No;No;No;No;No;No;No;No;N/A;No;No;No;No;No;No;Es indiferente;Es indiferente;Es indiferente;Es indiferente;Es indiferente;Es indiferente;Es indiferente;Es indiferente;Es indiferente;No;Sí;No;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;Sí;N/A;Otro;En general;No;Sí;No;No;No;No;No;Sí;No;No;No;Sí;No;No;No los hemos usado;Poca incidencia o efectividad;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No;N/A;2;0;2;No;0;Algunas veces;Nunca;No;No;Muy pocas veces;Muy pocas veces;Nunca;Nunca;Nunca;Siempre;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Negativa;No sabe, no responde;Sí, medio;Neutral;Neutral;Inequitativo;Neutral;Neutral;;;Neutral;Neutral;Neutral;Neutral;No ha realizado derechos de petición;No;No;No;No;No;No;doce de octubre;Noroccidental;55 +;0.632237138130508
Sí;Sí;Sí;3;N/A;10-LA CANDELARIA;Somos gente para trabajar por los demás;Derechos humanos, convivencia y ciudadanía;N/A;18;10;0;0;0;0;10;8;Hombre;N/A;73;Sí;12;Sí;Sí;No;No;No;No;No;No;N/A;No;Sí;No;No;No;No;No;Sí;No;Sí;Sí;No;No;No;No;No;No;Sí;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sí;Intimidación;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;300;Convivencia y seguridad;N/A;Sí;Sí;No;No;No;Neutral;Confía;Confía;Sí;No;No;No;Sí;No;No;N/A;Siempre;Siempre;Si;De fácil acceso;Clara y comprensible;No;No;No;No;No;Sí;No;No;N/A;No;No;Sí;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Personas con discapacidad;N/A;Sí;No;No;No;No;No;No;No;Sí;No;No;No;No;No;Poca incidencia o efectividad;No los hemos usado;No los hemos usado;Poca incidencia o efectividad;Poca incidencia o efectividad;No los hemos usado;Poca incidencia o efectividad;Poca incidencia o efectividad;Poca incidencia o efectividad;No los hemos usado;No;N/A;3;3;5;No;0;Nunca;Nunca;Sí;No;Siempre;Siempre;Siempre;Siempre;Nunca;Siempre;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Mejorado;Sí, alto;Totalmente equitativo;Neutral;Inequitativo;Neutral;Equitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente inequitativo;Totalmente equitativo;Satisfecho (sensación percibida coincide con las expectativas);No;No;Sí;No;No;No;la candelaria;Centro oriental;55 +;0.535012599583313
Sí;Sí;Sí;3;N/A;10-LA CANDELARIA;Mujeres cabezas de hogar,que luchan el dia a dia por salir a delante;mujeres;N/A;450;400;100;0;50;100;300;50;Mujer;N/A;38;Sí;1;Sí;Sí;No;No;Sí;No;No;No;N/A;No;No;No;No;No;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;Sí;No;Sí;No;No;No;No;No;No;No;Sí;No;Sí;No;No;No;N/A;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Ni de acuerdo, ni en desacuerdo;200;Derechos humanos y paz;N/A;No;Sí;No;No;No;Neutral;Neutral;Neutral;No;No;No;No;No;No;No;N/A;Algunas veces;Algunas veces;No acude a ejercicios de rendición de cuentas;De utilidad para el trabajo en la comuna;Clara y comprensible;No;No;No;No;No;No;No;No;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Sí;No;Sí;No;No;Sí;N/A;Las mujeres;N/A;No;Sí;No;No;No;No;No;No;No;Sí;Sí;Sí;No;No;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;Poca incidencia o efectividad;No sabe;No sabe;No;N/A;1;5;3;No;0;Nunca;Nunca;No;No;Muy pocas veces;Muy pocas veces;Muy pocas veces;Algunas veces;Muy pocas veces;Casi siempre;Democrático;Manipulador;Inclusivo;Dictatorial;Pasivo;Muy apático;Muy autosuficiente;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Autosuficiente;Positiva;Permanecen igual;Sí, medio;Totalmente inequitativo;Totalmente inequitativo;Inequitativo;Inequitativo;Inequitativo;;;;Equitativo;;;Insatisfecho (sensación percibida no alcanza las expectativas);No;No;No;No;Sí;No;la candelaria;Centro oriental;29 - 54;0.533869593111718
Sí;Sí;Sí;3;N/A;10-LA CANDELARIA;Organización artística teatral y de educación artística;Cultura, arte y patrimonio;N/A;13;0;3;0;0;0;11;2;Mujer;N/A;57;Sí;7;Sí;Sí;No;No;No;No;No;No;N/A;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;De acuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;Ni de acuerdo, ni en desacuerdo;Ni de acuerdo, ni en desacuerdo;120;Otro;Actividades teatrales;No;No;Sí;Sí;No;Neutral;Neutral;Neutral;No;No;No;No;No;No;No;Convocatorias de estímulos de artes y cultura;No consulta;Casi siempre;Si;Amplia y suficiente;De fácil acceso;No;No;No;No;No;Sí;No;No;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;Totalmente dispuesto;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Otro;Población en general;No;No;No;No;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No;N/A;4;4;10;No;0;Nunca;Nunca;No;No;Nunca;Nunca;Nunca;Muy pocas veces;Nunca;Siempre;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Autosuficiente;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Empeorado;Sí, medio;Neutral;Neutral;Neutral;Neutral;Totalmente equitativo;Neutral;;Neutral;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;Insatisfecho (sensación percibida no alcanza las expectativas);No;No;No;No;No;No;la candelaria;Centro oriental;55 +;0.632179109708662
Sí;Sí;Sí;3;N/A;6-DOCE DE OCTUBRE;lucha por los derechos de las mujeres;mujeres;N/A;23;5;1;0;2;2;14;5;Mujer;N/A;51;No;0;Sí;Sí;No;Sí;No;Sí;No;No;N/A;No;No;No;Sí;No;No;No;No;Sí;Sí;Sí;No;No;No;No;No;Sí;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Ni de acuerdo, ni en desacuerdo;Ni de acuerdo, ni en desacuerdo;Ni de acuerdo, ni en desacuerdo;Ni de acuerdo, ni en desacuerdo;Ni de acuerdo, ni en desacuerdo;50;Promoción o defensa derechos de mujeres;N/A;Sí;Sí;No;No;No;Confía;Confía;Confía;Sí;No;No;No;Sí;Sí;No;N/A;Casi siempre;Muy pocas veces;Si;De fácil acceso;Clara y comprensible;Sí;No;No;No;Sí;No;No;No;N/A;No;No;No;No;No;No;Para nada dispuesto;Algo dispuesto;Es indiferente;Es indiferente;Es indiferente;Algo dispuesto;Algo dispuesto;Algo dispuesto;Algo dispuesto;No;No;No;No;Sí;No;No;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;N/A;Las mujeres;N/A;No;Sí;No;No;Sí;No;Sí;No;Sí;Sí;No;Sí;No;No;Bastante incidencia o efectividad;Bastante incidencia o efectividad;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;No los hemos usado;Sí;50;15;7;15;No;0;Siempre;Casi siempre;No;No;Muy pocas veces;Muy pocas veces;Muy pocas veces;Casi siempre;Casi siempre;Siempre;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Democrático;Condescendiente;Inclusivo;Consultivo;Proactivo;Cooperativo;Delegativo;Positiva;Mejorado;Sí, alto;Totalmente inequitativo;Neutral;Totalmente inequitativo;Totalmente inequitativo;Equitativo;Neutral;Totalmente inequitativo;Neutral;Totalmente inequitativo;Totalmente inequitativo;Totalmente equitativo;No ha realizado derechos de petición;Sí;Sí;Sí;Sí;Sí;Sí;doce de octubre;Noroccidental;29 - 54;0.542813139136526
Sí;Sí;Sí;3;N/A;16-BELÉN;TODOS UNIDOS MEJORAMOS MUCHAS COSAS.;Adulto mayor;N/A;42;0;2;0;0;0;9;32;Mujer;N/A;61;Sí;8;Sí;Sí;No;No;No;No;No;No;Universidad Adventista;No;Sí;No;No;Sí;No;No;No;No;Sí;No;No;No;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Totalmente de acuerdo;Ni de acuerdo, ni en desacuerdo;De acuerdo;Ni de acuerdo, ni en desacuerdo;Totalmente de acuerdo;10;Promoción o defensa derechos de salud;N/A;No;No;No;No;No;Desconfía;Neutral;Confía;No;No;No;No;No;No;No;qué están dando, si les van a dar dinero;Siempre;Siempre;No;De utilidad para el trabajo en la comuna;Amplia y suficiente;No;No;No;No;Sí;No;No;No;N/A;No;No;No;No;No;No;Totalmente dispuesto;Totalmente dispuesto;Algo dispuesto;Es indiferente;Algo dispuesto;Totalmente dispuesto;Totalmente dispuesto;Algo dispuesto;Totalmente dispuesto;No;No;No;No;No;Sí;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;N/A;Las mujeres;N/A;No;Sí;No;No;Sí;No;No;No;Sí;No;No;Sí;No;No;No sabe;Poca incidencia o efectividad;No los hemos usado;No los hemos usado;Poca incidencia o efectividad;No los hemos usado;No los hemos usado;Poca incidencia o efectividad;No los hemos usado;No los hemos usado;No;N/A;0;0;40;No;0;Nunca;Nunca;No;No;Casi siempre;Casi siempre;Siempre;Algunas veces;Casi siempre;Siempre;Autoritario;Manipulador;Excluyente;Dictatorial;Pasivo;Apático;Autosuficiente;Democrático;Condescendiente;Inclusivo;Dictatorial;Pasivo;Apático;Autosuficiente;Positiva;Empeorado;Sí, alto;Totalmente equitativo;Totalmente equitativo;Neutral;Neutral;Totalmente equitativo;Neutral;Totalmente equitativo;Totalmente equitativo;Totalmente equitativo;;Equitativo;Insatisfecho (sensación percibida no alcanza las expectativas);No;No;No;Sí;No;No;belen;Suroccidental;55 +;0.536374734193413
